iter	Passed	Remaining
1520	12135	67652
1521	12143	67644
1522	12151	67637
1523	12160	67631
1524	12167	67620
1525	12175	67613
1526	12183	67606
1527	12191	67595
1528	12199	67586
1529	12207	67578
1530	12215	67569
1531	12222	67561
1532	12230	67553
1533	12238	67544
1534	12246	67536
1535	12255	67531
1536	12263	67523
1537	12271	67518
1538	12279	67510
1539	12287	67500
1540	12295	67492
1541	12303	67484
1542	12311	67479
1543	12319	67472
1544	12327	67464
1545	12335	67456
1546	12343	67448
1547	12351	67440
1548	12359	67431
1549	12367	67424
1550	12375	67416
1551	12383	67405
1552	12391	67397
1553	12399	67390
1554	12407	67381
1555	12415	67375
1556	12423	67366
1557	12431	67360
1558	12439	67353
1559	12447	67345
1560	12456	67339
1561	12463	67330
1562	12471	67323
1563	12480	67316
1564	12488	67310
1565	12496	67303
1566	12504	67295
1567	12512	67287
1568	12521	67281
1569	12529	67275
1570	12537	67269
1571	12545	67261
1572	12553	67252
1573	12562	67248
1574	12569	67239
1575	12578	67231
1576	12586	67226
1577	12594	67221
1578	12603	67214
1579	12611	67206
1580	12618	67197
1581	12626	67188
1582	12634	67177
1583	12642	67168
1584	12650	67162
1585	12658	67156
1586	12666	67148
1587	12674	67142
1588	12682	67132
1589	12690	67124
1590	12698	67114
1591	12706	67105
1592	12714	67098
1593	12722	67089
1594	12729	67081
1595	12738	67076
1596	12745	67066
1597	12753	67057
1598	12761	67050
1599	12770	67044
1600	12778	67037
1601	12786	67030
1602	12794	67023
1603	12802	67015
1604	12810	67006
1605	12818	66999
1606	12826	66989
1607	12834	66984
1608	12842	66976
1609	12851	66971
1610	12860	66967
1611	12868	66960
1612	12875	66948
1613	12883	66941
1614	12891	66933
1615	12899	66925
1616	12907	66916
1617	12914	66904
1618	12923	66899
1619	12930	66889
1620	12938	66881
1621	12947	66875
1622	12955	66868
1623	12963	66863
1624	12971	66855
1625	12979	66847
1626	12987	66839
1627	12996	66832
1628	13004	66827
1629	13012	66818
1630	13020	66810
1631	13027	66800
1632	13036	66795
1633	13045	66790
1634	13053	66783
1635	13061	66776
1636	13069	66769
1637	13077	66760
1638	13085	66750
1639	13092	66742
1640	13101	66735
1641	13108	66726
1642	13116	66718
1643	13124	66710
1644	13132	66702
1645	13140	66692
1646	13148	66683
1647	13156	66677
1648	13164	66670
1649	13173	66664
1650	13181	66655
1651	13189	66648
1652	13197	66641
1653	13205	66632
1654	13213	66623
1655	13220	66614
1656	13229	66608
1657	13236	66599
1658	13244	66591
1659	13252	66583
1660	13261	66577
1661	13269	66570
1662	13277	66561
1663	13284	66552
1664	13292	66544
1665	13301	66539
1666	13309	66531
